date,tests,cases,county
2019-07-06,720,14,California
2019-07-13,682,5,California
2019-07-20,676,9,California
2019-07-27,650,7,California
2019-08-03,657,5,California
2019-08-10,600,8,California
2019-08-17,660,10,California
2019-08-24,638,9,California
2019-08-31,886,18,California
2019-09-07,894,12,California
2019-09-14,960,11,California
2019-09-21,1126,14,California
2019-09-28,1216,15,California
2019-10-05,2191,30,California
2019-10-12,2334,45,California
2019-10-19,2466,45,California
2019-10-26,2432,65,California
2019-11-02,2522,114,California
2019-11-09,3047,284,California
2019-11-16,3467,414,California
2019-11-23,3647,466,California
2019-11-30,3363,506,California
2019-12-07,4098,681,California
2019-12-14,4543,876,California
2019-12-21,4906,1390,California
2019-12-28,5006,1281,California
2020-01-04,5550,1460,California
2020-01-11,6016,1623,California
2020-01-18,6601,2065,California
2020-01-25,7238,2317,California
2020-02-01,58,2,California
2020-02-01,7367,2253,California
2020-02-02,42,3,California
2020-02-03,25,0,California
2020-02-04,30,1,California
2020-02-05,46,1,California
2020-02-06,14,1,California
2020-02-07,493,62,California
2020-02-08,18,2,California
2020-02-08,7192,1953,California
2020-02-09,18,1,California
2020-02-10,18,1,California
2020-02-11,39,0,California
2020-02-12,4,0,California
2020-02-13,11,0,California
2020-02-14,19,0,California
2020-02-15,6922,1957,California
2020-02-15,43,1,California
2020-02-16,65,2,California
2020-02-17,84,0,California
2020-02-18,19,1,California
2020-02-19,10,0,California
2020-02-20,24,2,California
2020-02-21,18,2,California
2020-02-22,29,0,California
2020-02-22,6039,1603,California
2020-02-23,37,3,California
2020-02-24,21,3,California
2020-02-25,11,1,California
2020-02-26,24,3,California
2020-02-27,79,9,California
2020-02-28,117,17,California
2020-02-29,95,18,California
2020-02-29,6273,1470,California
2020-03-01,83,9,California
2020-03-02,176,26,California
2020-03-03,136,25,California
2020-03-04,234,39,California
2020-03-05,370,36,California
2020-03-06,413,31,California
2020-03-07,6385,1236,California
2020-03-07,509,75,California
2020-03-08,356,53,California
2020-03-09,1012,129,California
2020-03-10,1227,128,California
2020-03-11,1969,180,California
2020-03-12,3395,216,California
2020-03-13,4370,310,California
2020-03-14,2770,314,California
2020-03-14,6531,645,California
2020-03-15,3029,277,California
2020-03-16,7837,594,California
2020-03-17,8913,653,California
2020-03-18,8948,616,California
2020-03-19,9055,678,California
2020-03-20,9795,736,California
2020-03-21,3962,144,California
2020-03-21,5031,484,California
2020-03-22,5301,651,California
2020-03-23,12873,1270,California
2020-03-24,12137,1177,California
2020-03-25,11743,1220,California
2020-03-26,11984,1189,California
2020-03-27,12639,1333,California
2020-03-28,2512,24,California
2020-03-28,6660,940,California
2020-03-29,7011,840,California
2020-03-30,14049,1642,California
2020-03-31,13877,1575,California
2020-04-01,14795,1739,California
2020-04-02,15790,1706,California
2020-04-03,14025,1532,California
2020-04-04,7233,1089,California
2020-04-04,1780,13,California
2020-04-05,6088,840,California
2020-04-06,14373,1780,California
2020-04-07,16069,1794,California
2020-04-08,17495,1706,California
2020-04-09,18316,1733,California
2020-04-10,16201,1630,California
2020-04-11,1278,7,California
2020-04-11,7416,988,California
2020-04-12,6712,972,California
2020-04-13,16913,1920,California
2020-04-14,19291,1953,California
2020-04-15,19680,1897,California
2020-04-16,19782,1874,California
2020-04-17,19807,1802,California
2020-04-18,1182,0,California
2020-04-18,10856,1049,California
2020-04-19,10582,1306,California
2020-04-20,24441,2144,California
2020-04-21,23683,2015,California
2020-04-22,23395,2139,California
2020-04-23,28099,2239,California
2020-04-24,30728,2332,California
2020-04-25,1105,1,California
2020-04-25,14918,1330,California
2020-04-26,19364,1544,California
2020-04-27,32793,2678,California
2020-04-28,36361,2624,California
2020-04-29,41134,2340,California
2020-04-30,41520,2409,California
2020-05-01,42612,2204,California
2020-05-02,811,4,California
2020-05-02,18738,1130,California
2020-05-03,25429,1316,California
2020-05-04,45961,3054,California
2020-05-05,52384,2915,California
2020-05-06,54445,2908,California
2020-05-07,50494,2524,California
2020-05-08,50107,2536,California
2020-05-09,803,0,California
2020-05-09,19610,1183,California
2020-05-10,24056,1521,California
2020-05-11,54170,2739,California
2020-05-12,59408,2951,California
2020-05-13,56873,3338,California
2020-05-14,57339,3262,California
2020-05-15,52614,2855,California
2020-05-16,33042,1639,California
2020-05-16,753,3,California
2020-05-17,21353,1540,California
2020-05-18,63601,3782,California
2020-05-19,66623,3673,California
2020-05-20,64836,3582,California
2020-05-21,65992,3537,California
2020-05-22,64050,3155,California
2020-05-23,34518,1636,California
2020-05-23,707,0,California
2020-05-24,19751,1186,California
2020-05-25,27182,2329,California
2020-05-26,76576,4877,California
2020-05-27,73011,4474,California
2020-05-28,69469,4035,California
2020-05-29,73838,4426,California
2020-05-30,559,1,California
2020-05-30,37892,1922,California
2020-05-31,27211,1647,California
2020-06-01,69063,3937,California
2020-06-02,72631,4550,California
2020-06-03,72112,4147,California
2020-06-04,74109,4163,California
2020-06-05,79531,4193,California
2020-06-06,39705,2304,California
2020-06-06,610,0,California
