date,hospitalized_covid_patients,county
2020-03-30,59,Alameda
2020-03-31,56,Alameda
2020-04-01,52,Alameda
2020-04-02,57,Alameda
2020-04-03,64,Alameda
2020-04-04,60,Alameda
2020-04-05,72,Alameda
2020-04-06,79,Alameda
2020-04-07,76,Alameda
2020-04-08,84,Alameda
2020-04-09,80,Alameda
2020-04-10,93,Alameda
2020-04-11,87,Alameda
2020-04-12,91,Alameda
2020-04-13,85,Alameda
2020-04-14,92,Alameda
2020-04-15,81,Alameda
2020-04-16,73,Alameda
2020-04-17,85,Alameda
2020-04-18,82,Alameda
2020-04-19,84,Alameda
2020-04-20,114,Alameda
2020-04-21,56,Alameda
2020-04-22,84,Alameda
2020-04-23,81,Alameda
2020-04-24,79,Alameda
2020-04-25,83,Alameda
2020-04-26,84,Alameda
2020-04-27,81,Alameda
2020-04-28,76,Alameda
2020-04-29,76,Alameda
2020-04-30,74,Alameda
2020-05-01,75,Alameda
2020-05-02,73,Alameda
2020-05-03,73,Alameda
2020-05-04,73,Alameda
2020-05-05,76,Alameda
2020-05-06,78,Alameda
2020-05-07,75,Alameda
2020-05-08,80,Alameda
2020-05-09,81,Alameda
2020-05-10,77,Alameda
2020-05-11,78,Alameda
2020-05-12,79,Alameda
2020-05-13,81,Alameda
2020-05-14,82,Alameda
2020-05-15,76,Alameda
2020-05-16,81,Alameda
2020-05-17,74,Alameda
2020-05-18,87,Alameda
2020-05-19,83,Alameda
2020-05-20,81,Alameda
2020-05-21,77,Alameda
2020-05-22,79,Alameda
2020-05-23,80,Alameda
2020-05-24,88,Alameda
2020-05-25,91,Alameda
2020-05-26,93,Alameda
2020-05-27,95,Alameda
2020-05-28,96,Alameda
2020-05-29,102,Alameda
2020-05-30,105,Alameda
2020-05-31,99,Alameda
2020-06-01,97,Alameda
2020-06-02,92,Alameda
2020-06-03,89,Alameda
2020-06-04,82,Alameda
2020-06-05,82,Alameda
2020-06-06,83,Alameda
2020-06-07,92,Alameda
2020-06-08,92,Alameda
2020-06-09,94,Alameda
2020-06-10,88,Alameda
2020-06-11,86,Alameda
2020-06-12,84,Alameda
2020-06-13,87,Alameda
2020-06-14,88,Alameda
2020-06-15,98,Alameda
2020-06-16,95,Alameda
2020-06-17,90,Alameda
2020-06-18,77,Alameda
2020-06-19,80,Alameda
2020-06-20,77,Alameda
2020-06-21,76,Alameda
2020-06-22,78,Alameda
2020-06-23,86,Alameda
2020-06-24,89,Alameda
2020-06-25,91,Alameda
2020-06-26,92,Alameda
2020-06-27,99,Alameda
2020-06-28,102,Alameda
2020-06-29,111,Alameda
2020-06-30,116,Alameda
2020-07-01,123,Alameda
2020-07-02,141,Alameda
2020-07-03,157,Alameda
2020-07-04,146,Alameda
2020-07-05,146,Alameda
2020-07-06,142,Alameda
2020-07-07,145,Alameda
