data_hosp[1],data_hosp[2],data_hosp[3],data_hosp[4],data_hosp[5],data_hosp[6],data_hosp[7],data_hosp[8],data_hosp[9],data_hosp[10],data_hosp[11],data_hosp[12],data_hosp[13],data_hosp[14],data_hosp[15],data_hosp[16],data_hosp[17],data_hosp[18],data_hosp[19],data_hosp[20],data_hosp[21],data_hosp[22],data_hosp[23],data_hosp[24],data_hosp[25],data_hosp[26],data_hosp[27],data_hosp[28],data_hosp[29],data_hosp[30],data_hosp[31],data_hosp[32],data_hosp[33],data_hosp[34],data_hosp[35],data_hosp[36],data_hosp[37],data_hosp[38],data_hosp[39],data_hosp[40],data_hosp[41],data_hosp[42],data_hosp[43],data_hosp[44],data_hosp[45],data_hosp[46],data_hosp[47],data_hosp[48],data_hosp[49],data_hosp[50],data_hosp[51],data_hosp[52],data_hosp[53],data_hosp[54],data_hosp[55],data_hosp[56],data_hosp[57],data_hosp[58],data_hosp[59],data_hosp[60],data_hosp[61],data_hosp[62],data_hosp[63],data_hosp[64],data_hosp[65],data_hosp[66],data_hosp[67],data_hosp[68],data_hosp[69],data_hosp[70],data_hosp[71]
477.0,416.0,432.0,443.0,387.0,414.0,389.0,497.0,387.0,368.0,451.0,472.0,467.0,376.0,481.0,472.0,479.0,460.0,504.0,436.0,421.0,475.0,527.0,491.0,526.0,524.0,475.0,434.0,519.0,549.0,507.0,563.0,467.0,511.0,485.0,501.0,515.0,479.0,495.0,510.0,453.0,475.0,406.0,490.0,452.0,452.0,373.0,446.0,454.0,437.0,514.0,409.0,393.0,461.0,355.0,429.0,389.0,387.0,362.0,353.0,347.0,324.0,353.0,338.0,373.0,355.0,351.0,331.0,332.0,345.0,272.0
433.0,330.0,392.0,459.0,459.0,410.0,380.0,441.0,480.0,500.0,493.0,480.0,562.0,519.0,461.0,503.0,461.0,586.0,523.0,496.0,532.0,470.0,508.0,503.0,504.0,536.0,511.0,542.0,564.0,484.0,550.0,448.0,527.0,434.0,543.0,526.0,479.0,475.0,504.0,463.0,464.0,420.0,545.0,452.0,451.0,505.0,489.0,494.0,433.0,422.0,401.0,435.0,464.0,429.0,374.0,433.0,439.0,407.0,396.0,357.0,393.0,324.0,314.0,338.0,348.0,343.0,325.0,265.0,264.0,285.0,291.0
457.0,403.0,382.0,423.0,382.0,435.0,404.0,307.0,505.0,466.0,433.0,457.0,475.0,518.0,534.0,552.0,489.0,452.0,509.0,431.0,548.0,551.0,525.0,525.0,498.0,517.0,504.0,501.0,519.0,517.0,453.0,526.0,454.0,497.0,446.0,535.0,469.0,507.0,537.0,525.0,468.0,557.0,534.0,545.0,520.0,509.0,472.0,473.0,444.0,450.0,530.0,431.0,521.0,407.0,403.0,406.0,434.0,402.0,390.0,372.0,331.0,321.0,410.0,336.0,314.0,268.0,277.0,245.0,297.0,301.0,251.0
358.0,418.0,418.0,373.0,387.0,422.0,400.0,423.0,394.0,464.0,368.0,491.0,528.0,437.0,437.0,440.0,411.0,489.0,454.0,517.0,506.0,498.0,494.0,562.0,518.0,468.0,478.0,477.0,533.0,483.0,516.0,489.0,502.0,536.0,434.0,486.0,497.0,547.0,425.0,512.0,473.0,462.0,460.0,471.0,545.0,431.0,446.0,414.0,437.0,423.0,412.0,391.0,382.0,406.0,429.0,397.0,358.0,485.0,318.0,392.0,340.0,328.0,348.0,301.0,339.0,326.0,284.0,296.0,328.0,337.0,259.0
475.0,404.0,403.0,393.0,376.0,409.0,394.0,415.0,380.0,469.0,499.0,439.0,502.0,558.0,445.0,424.0,440.0,502.0,514.0,468.0,497.0,481.0,459.0,548.0,490.0,521.0,459.0,556.0,575.0,523.0,468.0,523.0,503.0,492.0,491.0,480.0,512.0,512.0,513.0,541.0,480.0,480.0,568.0,520.0,465.0,490.0,485.0,469.0,445.0,384.0,430.0,419.0,450.0,383.0,506.0,360.0,443.0,346.0,293.0,346.0,296.0,315.0,349.0,317.0,360.0,264.0,266.0,282.0,276.0,348.0,273.0
456.0,425.0,396.0,345.0,404.0,396.0,341.0,396.0,470.0,426.0,394.0,568.0,509.0,434.0,470.0,496.0,495.0,473.0,488.0,558.0,531.0,495.0,587.0,492.0,541.0,495.0,541.0,577.0,551.0,581.0,476.0,575.0,589.0,524.0,547.0,505.0,483.0,507.0,513.0,496.0,552.0,451.0,450.0,402.0,448.0,436.0,476.0,553.0,403.0,406.0,450.0,399.0,424.0,439.0,363.0,420.0,357.0,344.0,374.0,387.0,333.0,316.0,321.0,326.0,304.0,357.0,324.0,385.0,317.0,272.0,290.0
507.0,416.0,392.0,320.0,424.0,447.0,386.0,459.0,393.0,436.0,375.0,431.0,440.0,550.0,594.0,511.0,478.0,513.0,511.0,492.0,569.0,487.0,538.0,531.0,475.0,522.0,505.0,503.0,530.0,496.0,493.0,488.0,445.0,594.0,535.0,529.0,499.0,496.0,503.0,424.0,430.0,485.0,487.0,485.0,463.0,439.0,450.0,390.0,485.0,413.0,434.0,435.0,392.0,441.0,358.0,396.0,362.0,342.0,430.0,369.0,346.0,280.0,353.0,327.0,322.0,321.0,314.0,285.0,314.0,255.0,255.0
460.0,405.0,420.0,383.0,422.0,392.0,454.0,406.0,510.0,427.0,449.0,520.0,432.0,410.0,494.0,507.0,395.0,519.0,422.0,508.0,463.0,448.0,451.0,546.0,496.0,499.0,496.0,506.0,544.0,512.0,627.0,450.0,508.0,476.0,469.0,624.0,462.0,490.0,519.0,455.0,579.0,565.0,463.0,477.0,516.0,462.0,444.0,411.0,495.0,417.0,419.0,470.0,375.0,340.0,378.0,425.0,381.0,406.0,393.0,376.0,328.0,303.0,313.0,266.0,273.0,333.0,310.0,276.0,316.0,341.0,269.0
408.0,388.0,353.0,363.0,372.0,409.0,382.0,388.0,410.0,439.0,440.0,403.0,368.0,438.0,475.0,544.0,451.0,553.0,462.0,461.0,503.0,464.0,584.0,426.0,536.0,530.0,508.0,548.0,528.0,594.0,496.0,550.0,497.0,505.0,509.0,552.0,501.0,464.0,555.0,487.0,437.0,447.0,482.0,360.0,496.0,517.0,496.0,524.0,404.0,393.0,499.0,466.0,426.0,393.0,420.0,393.0,366.0,397.0,393.0,340.0,382.0,305.0,305.0,315.0,308.0,326.0,310.0,276.0,228.0,292.0,250.0
493.0,330.0,410.0,341.0,446.0,406.0,395.0,387.0,489.0,396.0,400.0,397.0,529.0,444.0,465.0,493.0,520.0,475.0,556.0,499.0,527.0,495.0,474.0,445.0,544.0,423.0,530.0,423.0,468.0,532.0,527.0,506.0,504.0,483.0,586.0,507.0,579.0,467.0,530.0,481.0,499.0,495.0,505.0,419.0,417.0,456.0,455.0,418.0,433.0,457.0,415.0,401.0,398.0,440.0,432.0,364.0,409.0,339.0,327.0,377.0,380.0,357.0,338.0,358.0,346.0,340.0,267.0,306.0,285.0,259.0,298.0
