data_hosp[65],data_hosp[66],data_hosp[67],data_hosp[68],data_hosp[69],data_hosp[70],data_hosp[71]
322.0,301.0,338.0,312.0,309.0,288.0,288.0
294.0,324.0,337.0,329.0,309.0,241.0,236.0
292.0,384.0,311.0,287.0,239.0,250.0,217.0
291.0,311.0,268.0,303.0,291.0,245.0,266.0
292.0,342.0,306.0,356.0,255.0,253.0,270.0
265.0,269.0,271.0,248.0,295.0,261.0,316.0
323.0,255.0,335.0,309.0,321.0,325.0,316.0
307.0,277.0,286.0,237.0,242.0,303.0,276.0
284.0,325.0,247.0,246.0,256.0,249.0,264.0
314.0,310.0,289.0,266.0,279.0,268.0,261.0
247.0,271.0,299.0,287.0,300.0,260.0,257.0
300.0,303.0,222.0,281.0,339.0,321.0,276.0
321.0,314.0,294.0,263.0,310.0,289.0,267.0
365.0,319.0,331.0,422.0,394.0,329.0,396.0
264.0,324.0,293.0,255.0,324.0,273.0,231.0
357.0,310.0,356.0,318.0,389.0,263.0,315.0
266.0,297.0,314.0,358.0,290.0,287.0,265.0
318.0,403.0,324.0,256.0,317.0,270.0,324.0
240.0,309.0,236.0,282.0,249.0,263.0,305.0
290.0,306.0,329.0,304.0,258.0,328.0,253.0
323.0,277.0,280.0,317.0,252.0,295.0,291.0
327.0,345.0,331.0,290.0,327.0,251.0,271.0
349.0,321.0,261.0,265.0,271.0,328.0,289.0
288.0,303.0,377.0,342.0,297.0,324.0,312.0
283.0,373.0,296.0,281.0,329.0,259.0,336.0
317.0,286.0,266.0,243.0,319.0,246.0,277.0
318.0,334.0,352.0,316.0,314.0,329.0,309.0
296.0,317.0,347.0,266.0,282.0,302.0,240.0
264.0,246.0,367.0,304.0,292.0,277.0,334.0
315.0,289.0,269.0,298.0,327.0,260.0,309.0
355.0,311.0,352.0,293.0,285.0,286.0,264.0
308.0,309.0,296.0,272.0,348.0,281.0,263.0
373.0,311.0,267.0,288.0,315.0,327.0,313.0
383.0,319.0,313.0,312.0,292.0,292.0,322.0
354.0,311.0,284.0,266.0,345.0,306.0,262.0
305.0,315.0,319.0,362.0,246.0,286.0,225.0
340.0,312.0,361.0,303.0,269.0,296.0,306.0
281.0,343.0,287.0,240.0,301.0,213.0,237.0
290.0,326.0,287.0,324.0,221.0,291.0,282.0
292.0,229.0,348.0,338.0,284.0,253.0,179.0
336.0,326.0,315.0,347.0,315.0,312.0,266.0
296.0,316.0,313.0,289.0,234.0,250.0,248.0
373.0,396.0,322.0,242.0,417.0,310.0,335.0
239.0,293.0,262.0,279.0,285.0,273.0,311.0
344.0,276.0,278.0,267.0,278.0,206.0,200.0
287.0,296.0,336.0,311.0,242.0,267.0,292.0
286.0,263.0,238.0,242.0,232.0,206.0,242.0
400.0,244.0,335.0,294.0,225.0,246.0,301.0
336.0,406.0,330.0,362.0,345.0,337.0,293.0
278.0,270.0,320.0,206.0,335.0,240.0,231.0
320.0,342.0,329.0,291.0,338.0,313.0,283.0
302.0,334.0,271.0,249.0,252.0,261.0,238.0
289.0,253.0,295.0,220.0,219.0,267.0,222.0
338.0,342.0,364.0,261.0,345.0,302.0,326.0
307.0,312.0,274.0,278.0,260.0,235.0,287.0
361.0,321.0,365.0,256.0,309.0,297.0,281.0
282.0,322.0,265.0,272.0,298.0,299.0,274.0
311.0,274.0,339.0,316.0,302.0,339.0,297.0
323.0,300.0,321.0,270.0,248.0,249.0,247.0
416.0,299.0,347.0,323.0,342.0,221.0,257.0
315.0,338.0,295.0,317.0,276.0,281.0,317.0
239.0,325.0,324.0,294.0,284.0,303.0,280.0
293.0,293.0,306.0,280.0,293.0,261.0,250.0
395.0,316.0,347.0,283.0,328.0,250.0,286.0
327.0,342.0,286.0,309.0,264.0,216.0,221.0
341.0,342.0,310.0,342.0,315.0,301.0,309.0
299.0,293.0,291.0,241.0,247.0,285.0,232.0
281.0,344.0,346.0,276.0,317.0,314.0,270.0
294.0,325.0,295.0,304.0,275.0,287.0,267.0
269.0,256.0,294.0,333.0,259.0,271.0,273.0
312.0,345.0,291.0,347.0,308.0,326.0,275.0
329.0,305.0,286.0,308.0,264.0,234.0,283.0
294.0,218.0,235.0,290.0,202.0,227.0,182.0
346.0,303.0,351.0,296.0,358.0,307.0,296.0
290.0,262.0,293.0,268.0,264.0,283.0,307.0
329.0,321.0,275.0,307.0,334.0,259.0,284.0
266.0,317.0,303.0,342.0,308.0,263.0,337.0
313.0,297.0,307.0,264.0,269.0,280.0,298.0
283.0,319.0,279.0,293.0,235.0,250.0,219.0
298.0,290.0,298.0,252.0,198.0,317.0,282.0
359.0,311.0,299.0,276.0,296.0,310.0,289.0
421.0,299.0,334.0,299.0,346.0,319.0,247.0
306.0,348.0,341.0,290.0,321.0,301.0,302.0
333.0,334.0,317.0,236.0,295.0,273.0,235.0
353.0,314.0,298.0,302.0,274.0,251.0,261.0
333.0,317.0,318.0,307.0,334.0,282.0,264.0
332.0,375.0,273.0,335.0,344.0,354.0,243.0
351.0,366.0,322.0,340.0,277.0,212.0,266.0
337.0,329.0,315.0,268.0,319.0,257.0,337.0
343.0,384.0,309.0,346.0,323.0,242.0,273.0
345.0,269.0,342.0,305.0,309.0,264.0,211.0
318.0,270.0,257.0,283.0,295.0,280.0,244.0
269.0,339.0,283.0,305.0,288.0,276.0,270.0
343.0,327.0,302.0,321.0,264.0,282.0,252.0
382.0,269.0,331.0,330.0,359.0,306.0,282.0
360.0,294.0,289.0,319.0,315.0,308.0,291.0
282.0,323.0,278.0,295.0,288.0,269.0,196.0
362.0,297.0,350.0,326.0,360.0,271.0,269.0
314.0,277.0,238.0,247.0,321.0,278.0,293.0
322.0,260.0,306.0,256.0,279.0,246.0,289.0
353.0,305.0,274.0,383.0,285.0,262.0,281.0
293.0,322.0,365.0,313.0,325.0,305.0,317.0
300.0,278.0,329.0,268.0,254.0,244.0,265.0
391.0,327.0,266.0,228.0,303.0,267.0,290.0
278.0,298.0,262.0,271.0,243.0,259.0,226.0
316.0,335.0,367.0,364.0,310.0,324.0,278.0
285.0,332.0,260.0,286.0,328.0,265.0,300.0
338.0,296.0,265.0,272.0,345.0,273.0,223.0
360.0,338.0,257.0,268.0,280.0,259.0,233.0
369.0,305.0,344.0,295.0,286.0,315.0,265.0
300.0,357.0,274.0,235.0,243.0,232.0,302.0
262.0,281.0,313.0,405.0,350.0,319.0,315.0
297.0,256.0,219.0,303.0,298.0,255.0,249.0
360.0,263.0,250.0,206.0,287.0,191.0,241.0
303.0,311.0,315.0,217.0,303.0,311.0,271.0
306.0,315.0,303.0,277.0,280.0,325.0,287.0
279.0,300.0,258.0,272.0,228.0,332.0,192.0
341.0,291.0,258.0,282.0,269.0,247.0,207.0
251.0,275.0,266.0,265.0,230.0,265.0,225.0
335.0,342.0,239.0,267.0,283.0,272.0,235.0
263.0,297.0,343.0,305.0,316.0,318.0,330.0
348.0,347.0,287.0,330.0,307.0,323.0,296.0
276.0,311.0,304.0,211.0,238.0,258.0,243.0
313.0,264.0,320.0,344.0,297.0,271.0,293.0
304.0,351.0,348.0,266.0,275.0,282.0,251.0
263.0,306.0,232.0,249.0,271.0,226.0,238.0
347.0,361.0,326.0,261.0,375.0,285.0,315.0
282.0,362.0,329.0,242.0,225.0,276.0,182.0
356.0,372.0,329.0,292.0,315.0,341.0,373.0
243.0,272.0,277.0,264.0,264.0,240.0,254.0
259.0,368.0,281.0,271.0,258.0,245.0,231.0
279.0,325.0,347.0,277.0,268.0,276.0,246.0
289.0,331.0,303.0,338.0,345.0,340.0,340.0
380.0,288.0,350.0,317.0,276.0,288.0,271.0
275.0,327.0,377.0,351.0,291.0,286.0,283.0
332.0,358.0,297.0,304.0,276.0,237.0,225.0
325.0,373.0,318.0,324.0,339.0,313.0,302.0
315.0,292.0,313.0,256.0,229.0,215.0,193.0
274.0,313.0,266.0,287.0,265.0,356.0,290.0
346.0,298.0,247.0,278.0,284.0,318.0,334.0
312.0,292.0,325.0,259.0,245.0,369.0,272.0
351.0,282.0,339.0,264.0,259.0,273.0,233.0
325.0,293.0,251.0,267.0,286.0,260.0,272.0
352.0,309.0,277.0,277.0,231.0,244.0,225.0
343.0,397.0,349.0,278.0,333.0,269.0,272.0
321.0,296.0,298.0,299.0,292.0,247.0,234.0
306.0,290.0,295.0,306.0,306.0,232.0,230.0
304.0,308.0,292.0,294.0,274.0,277.0,201.0
