data_hosp[1],data_hosp[2],data_hosp[3],data_hosp[4],data_hosp[5],data_hosp[6],data_hosp[7],data_hosp[8],data_hosp[9],data_hosp[10],data_hosp[11],data_hosp[12],data_hosp[13],data_hosp[14],data_hosp[15],data_hosp[16],data_hosp[17],data_hosp[18],data_hosp[19],data_hosp[20],data_hosp[21],data_hosp[22],data_hosp[23],data_hosp[24],data_hosp[25],data_hosp[26],data_hosp[27],data_hosp[28],data_hosp[29],data_hosp[30],data_hosp[31],data_hosp[32],data_hosp[33],data_hosp[34],data_hosp[35],data_hosp[36],data_hosp[37],data_hosp[38],data_hosp[39],data_hosp[40],data_hosp[41],data_hosp[42],data_hosp[43],data_hosp[44],data_hosp[45],data_hosp[46],data_hosp[47],data_hosp[48],data_hosp[49],data_hosp[50],data_hosp[51],data_hosp[52],data_hosp[53],data_hosp[54],data_hosp[55],data_hosp[56],data_hosp[57],data_hosp[58],data_hosp[59],data_hosp[60],data_hosp[61],data_hosp[62],data_hosp[63],data_hosp[64],data_hosp[65],data_hosp[66],data_hosp[67],data_hosp[68],data_hosp[69],data_hosp[70],data_hosp[71]
496.0,358.0,407.0,405.0,306.0,317.0,401.0,390.0,391.0,521.0,395.0,367.0,462.0,478.0,474.0,365.0,485.0,471.0,471.0,445.0,484.0,402.0,395.0,452.0,512.0,466.0,510.0,512.0,446.0,409.0,503.0,549.0,487.0,557.0,447.0,505.0,470.0,503.0,521.0,476.0,488.0,508.0,440.0,471.0,394.0,485.0,454.0,448.0,354.0,437.0,457.0,431.0,520.0,394.0,369.0,451.0,322.0,409.0,371.0,361.0,332.0,321.0,317.0,288.0,322.0,301.0,338.0,312.0,309.0,288.0,288.0
425.0,458.0,396.0,380.0,343.0,458.0,392.0,469.0,409.0,415.0,527.0,474.0,487.0,490.0,595.0,548.0,479.0,522.0,477.0,621.0,551.0,516.0,562.0,487.0,524.0,521.0,518.0,553.0,524.0,552.0,569.0,482.0,569.0,440.0,523.0,418.0,562.0,520.0,469.0,468.0,495.0,454.0,449.0,390.0,536.0,430.0,423.0,484.0,473.0,470.0,399.0,394.0,367.0,407.0,443.0,403.0,340.0,411.0,422.0,391.0,377.0,343.0,378.0,303.0,294.0,324.0,337.0,329.0,309.0,241.0,236.0
395.0,349.0,420.0,506.0,406.0,428.0,370.0,379.0,467.0,428.0,309.0,532.0,477.0,434.0,461.0,480.0,529.0,543.0,558.0,487.0,449.0,510.0,429.0,563.0,566.0,536.0,539.0,511.0,527.0,509.0,500.0,519.0,517.0,442.0,513.0,438.0,483.0,422.0,514.0,447.0,481.0,517.0,499.0,436.0,535.0,509.0,519.0,485.0,476.0,435.0,434.0,402.0,410.0,491.0,394.0,486.0,368.0,365.0,368.0,399.0,369.0,355.0,338.0,297.0,292.0,384.0,311.0,287.0,239.0,250.0,217.0
468.0,380.0,460.0,332.0,438.0,460.0,410.0,432.0,469.0,447.0,474.0,419.0,516.0,397.0,537.0,584.0,463.0,474.0,461.0,430.0,521.0,538.0,488.0,487.0,511.0,499.0,583.0,515.0,459.0,465.0,462.0,524.0,466.0,496.0,470.0,479.0,525.0,409.0,469.0,476.0,548.0,403.0,502.0,463.0,451.0,447.0,461.0,548.0,415.0,442.0,398.0,421.0,417.0,389.0,368.0,354.0,374.0,401.0,371.0,325.0,456.0,276.0,359.0,298.0,291.0,311.0,268.0,303.0,291.0,245.0,266.0
445.0,471.0,373.0,385.0,435.0,428.0,408.0,405.0,446.0,425.0,449.0,398.0,501.0,532.0,450.0,530.0,593.0,455.0,435.0,438.0,527.0,526.0,479.0,513.0,492.0,464.0,563.0,501.0,530.0,465.0,593.0,606.0,536.0,468.0,536.0,506.0,488.0,486.0,463.0,495.0,479.0,488.0,513.0,443.0,439.0,534.0,480.0,426.0,443.0,442.0,422.0,401.0,336.0,383.0,371.0,411.0,342.0,480.0,324.0,423.0,318.0,267.0,330.0,276.0,292.0,342.0,306.0,356.0,255.0,253.0,270.0
481.0,400.0,329.0,359.0,437.0,431.0,366.0,437.0,430.0,365.0,423.0,511.0,454.0,411.0,618.0,536.0,434.0,468.0,499.0,503.0,470.0,491.0,561.0,522.0,477.0,577.0,462.0,522.0,460.0,515.0,555.0,529.0,553.0,436.0,563.0,580.0,507.0,536.0,491.0,473.0,507.0,523.0,507.0,582.0,451.0,465.0,408.0,461.0,448.0,509.0,591.0,399.0,404.0,456.0,394.0,415.0,433.0,341.0,402.0,331.0,307.0,346.0,350.0,285.0,265.0,269.0,271.0,248.0,295.0,261.0,316.0
378.0,410.0,355.0,407.0,350.0,379.0,363.0,477.0,356.0,482.0,443.0,409.0,397.0,359.0,455.0,514.0,516.0,444.0,490.0,545.0,437.0,548.0,418.0,507.0,617.0,512.0,565.0,545.0,467.0,538.0,518.0,525.0,540.0,494.0,482.0,478.0,416.0,591.0,525.0,519.0,468.0,471.0,470.0,385.0,399.0,449.0,454.0,453.0,428.0,398.0,411.0,345.0,451.0,370.0,400.0,408.0,353.0,420.0,334.0,375.0,338.0,316.0,419.0,352.0,323.0,255.0,335.0,309.0,321.0,325.0,316.0
368.0,362.0,426.0,372.0,315.0,388.0,431.0,391.0,431.0,388.0,465.0,397.0,514.0,424.0,443.0,532.0,430.0,404.0,505.0,521.0,387.0,538.0,427.0,530.0,470.0,457.0,456.0,574.0,515.0,510.0,504.0,518.0,574.0,533.0,663.0,449.0,507.0,464.0,453.0,615.0,428.0,452.0,479.0,412.0,539.0,525.0,410.0,431.0,465.0,413.0,396.0,360.0,455.0,373.0,386.0,442.0,336.0,312.0,355.0,406.0,356.0,386.0,374.0,362.0,307.0,277.0,286.0,237.0,242.0,303.0,276.0
344.0,394.0,341.0,359.0,459.0,452.0,366.0,401.0,421.0,474.0,481.0,540.0,466.0,442.0,504.0,494.0,445.0,400.0,493.0,525.0,602.0,474.0,599.0,480.0,464.0,504.0,462.0,595.0,411.0,539.0,527.0,506.0,544.0,521.0,594.0,483.0,534.0,488.0,491.0,488.0,543.0,474.0,432.0,547.0,467.0,410.0,428.0,461.0,324.0,481.0,509.0,478.0,512.0,376.0,360.0,470.0,435.0,388.0,349.0,375.0,352.0,318.0,348.0,339.0,284.0,325.0,247.0,246.0,256.0,249.0,264.0
420.0,404.0,335.0,379.0,380.0,493.0,333.0,440.0,365.0,502.0,447.0,434.0,421.0,548.0,429.0,436.0,426.0,586.0,481.0,497.0,529.0,557.0,496.0,594.0,517.0,560.0,498.0,470.0,425.0,560.0,408.0,524.0,404.0,460.0,534.0,526.0,492.0,494.0,470.0,578.0,488.0,566.0,442.0,511.0,463.0,477.0,485.0,491.0,400.0,387.0,433.0,430.0,383.0,399.0,429.0,372.0,360.0,355.0,392.0,384.0,310.0,357.0,281.0,269.0,314.0,310.0,289.0,266.0,279.0,268.0,261.0
