iteration,chain,data_wastewater[1],data_wastewater[2],data_wastewater[3],data_wastewater[4],data_wastewater[5],data_wastewater[6],data_wastewater[7],data_wastewater[8],data_wastewater[9],data_wastewater[10],data_wastewater[11],data_wastewater[12],data_wastewater[13],data_wastewater[14],data_wastewater[15],data_wastewater[16],data_wastewater[17],data_wastewater[18],data_wastewater[19],data_wastewater[20],data_wastewater[21],data_wastewater[22],data_wastewater[23],data_wastewater[24],data_wastewater[25],data_wastewater[26],data_wastewater[27],data_wastewater[28],data_wastewater[29],data_wastewater[30],data_wastewater[31],data_wastewater[32],data_wastewater[33],data_wastewater[34],data_wastewater[35],data_wastewater[36],data_wastewater[37],data_wastewater[38],data_wastewater[39],data_hosp[1],data_hosp[2],data_hosp[3],data_hosp[4],data_hosp[5],data_hosp[6],data_hosp[7],data_hosp[8],data_hosp[9],data_hosp[10],data_hosp[11],data_hosp[12],data_hosp[13],data_hosp[14],data_hosp[15],data_hosp[16],data_hosp[17],data_hosp[18],data_hosp[19],data_hosp[20],data_hosp[21],data_hosp[22],data_hosp[23],data_hosp[24],data_hosp[25],data_hosp[26],data_hosp[27],data_hosp[28],data_hosp[29],data_hosp[30],data_hosp[31],data_hosp[32],data_hosp[33],data_hosp[34],data_hosp[35],data_hosp[36],data_hosp[37],data_hosp[38],data_hosp[39],data_hosp[40],data_hosp[41],data_hosp[42],data_hosp[43],data_hosp[44],data_hosp[45],data_hosp[46],data_hosp[47],data_hosp[48],data_hosp[49],data_hosp[50],data_hosp[51],data_hosp[52],data_hosp[53],data_hosp[54],data_hosp[55],data_hosp[56],data_hosp[57],data_hosp[58],data_hosp[59],data_hosp[60],data_hosp[61],data_hosp[62],data_hosp[63],data_hosp[64],data_hosp[65],data_hosp[66],data_hosp[67],data_hosp[68],data_hosp[69],data_hosp[70],data_hosp[71]
1,1,11.881361393170177,12.873473248800664,12.83378098025319,12.263621060112193,11.892959953471852,11.65172858644289,11.500269447661971,12.55086798994305,11.571806711943465,12.667522674170167,12.186080854953484,11.459259886945567,12.536472454145253,13.02628003735854,11.991925851094226,12.113099526532412,12.093858627028311,12.613617379877956,12.063163339368623,12.171278691383701,12.878270626802486,12.178137378814238,12.446420283098808,12.547482412472663,12.134072206281388,12.132475190403468,11.603568442512929,12.038590724330868,12.568787449417103,11.714171390130645,11.35099383876541,11.501858194042375,11.599928783090203,10.88126003689374,10.929082264328684,11.52751240762315,12.459839049035683,12.012452150238879,12.405923856488911,457.0,484.0,457.0,333.0,338.0,420.0,403.0,401.0,529.0,400.0,371.0,466.0,483.0,479.0,371.0,495.0,482.0,484.0,459.0,500.0,417.0,411.0,468.0,527.0,480.0,524.0,526.0,458.0,422.0,517.0,563.0,500.0,570.0,457.0,514.0,478.0,513.0,531.0,486.0,499.0,519.0,451.0,481.0,402.0,493.0,462.0,455.0,360.0,444.0,468.0,441.0,532.0,404.0,377.0,460.0,328.0,416.0,374.0,362.0,331.0,318.0,312.0,282.0,315.0,294.0,330.0,305.0,302.0,283.0,283.0,290.0
2,1,11.38424084942685,11.563497131352037,11.9197818550629,12.763231277639626,12.98167635973502,12.155580486198701,12.127985958318616,12.43887339928907,11.396700504658016,12.23329120089646,12.547396791759601,12.333724486946883,12.5646718126869,13.042918204486256,12.364443674086798,12.394293905795541,12.325169476810355,11.776574068033572,10.979693170570032,12.078686950701197,12.509481275307156,12.611959587022854,10.877228522662296,11.863776724836317,12.29534839463686,11.943369710390437,11.805386901563548,11.975031215271631,11.645462609228192,11.511612067067164,11.752539891528459,11.640866126428586,11.635086404399424,11.18494210410594,11.90517371547833,11.227410965615297,11.615403251554588,11.20397024564743,10.915989945982563,353.0,448.0,329.0,402.0,474.0,474.0,406.0,373.0,449.0,481.0,501.0,495.0,487.0,572.0,526.0,464.0,510.0,469.0,616.0,550.0,520.0,570.0,497.0,537.0,536.0,534.0,571.0,541.0,568.0,585.0,495.0,583.0,451.0,534.0,427.0,572.0,528.0,477.0,477.0,505.0,463.0,459.0,400.0,550.0,443.0,437.0,501.0,492.0,488.0,415.0,413.0,386.0,346.0,467.0,424.0,357.0,428.0,434.0,398.0,379.0,341.0,372.0,296.0,283.0,286.0,252.0,286.0,261.0,333.0,224.0,246.0
3,1,12.122718828522988,11.298819098481822,11.589997297655497,11.6599986945398,12.901213659435554,12.30618568214683,12.03533211058593,12.565743792657067,12.734067819137953,11.948619357952163,12.4464640584685,12.576818763189513,12.479662530031238,12.633997140083899,12.094093093695447,11.835122501838788,12.353671642447518,11.957886831127773,12.829896527101802,12.90776662560298,12.60916925075552,11.897121607715851,12.00341013226885,11.465842956866515,11.749434181467686,10.93515066141133,10.466157039397592,12.164291043550552,11.203470635482727,11.949525648639582,11.864437488551848,10.90535282845895,12.321842574895603,11.075225249083715,12.376455741100727,11.212146755960177,11.69898167313015,11.597753799941293,10.686929288415318,408.0,465.0,420.0,396.0,435.0,389.0,438.0,400.0,291.0,509.0,462.0,425.0,457.0,480.0,534.0,549.0,565.0,494.0,457.0,519.0,434.0,566.0,567.0,536.0,538.0,511.0,528.0,510.0,501.0,525.0,526.0,453.0,527.0,452.0,497.0,432.0,527.0,460.0,494.0,531.0,511.0,444.0,544.0,514.0,523.0,488.0,480.0,441.0,442.0,414.0,426.0,516.0,421.0,521.0,398.0,398.0,402.0,437.0,409.0,394.0,377.0,334.0,329.0,428.0,348.0,321.0,268.0,281.0,246.0,304.0,313.0
4,1,11.92090122035837,12.548565434848145,11.599757172726765,12.018233493326836,12.032347414800881,12.961277408986815,11.91495051977586,11.862297031295354,11.706917364632991,12.715736576961136,11.722684713934468,12.752251855763584,12.730205302201925,12.504542817823157,11.9124995943612,12.728177063934679,11.970411778696924,12.440387326174394,11.92334303524435,12.851083398939586,12.572878238550521,12.656868329657424,12.552117467896588,12.628772906374028,11.902052754746151,12.198712243280807,12.442592993310102,12.481684836769256,10.766318479039187,11.862725089594207,10.956528527341499,11.164162800420044,11.116338119611056,12.004972690349074,12.07494190629552,11.819708186152125,11.14144661172999,10.922022553148718,11.316240811767006,358.0,321.0,413.0,429.0,381.0,402.0,438.0,418.0,442.0,391.0,483.0,370.0,505.0,546.0,429.0,441.0,431.0,404.0,495.0,448.0,523.0,514.0,501.0,493.0,582.0,518.0,465.0,473.0,471.0,536.0,477.0,509.0,485.0,494.0,541.0,421.0,482.0,489.0,565.0,414.0,516.0,476.0,462.0,459.0,475.0,565.0,427.0,456.0,412.0,435.0,432.0,402.0,379.0,363.0,384.0,409.0,378.0,329.0,460.0,277.0,359.0,296.0,289.0,308.0,265.0,299.0,287.0,240.0,261.0,291.0,298.0
5,1,11.034327228657348,12.497572472198252,12.177109894156805,12.516026428416358,11.861168149301927,12.191443830222225,12.168956015845222,11.9887356363592,13.072877095982586,12.152780717607058,12.560338821224313,11.887126481643925,12.399133592722558,12.60457308553761,12.451120107926492,12.06457347326063,12.532593951401866,11.989796223643904,12.253562430744704,12.676779076936496,12.571558276376168,12.25463573781932,11.740372268102305,11.557375982734593,11.600924536854668,11.468102092342956,12.341314141781925,11.686866663991882,12.538874868305005,11.749896678910988,11.490123394524648,10.893970746662466,11.253473433840295,11.180469906841896,11.210273944399354,12.309153118568748,11.853532998859924,11.757638832030679,11.889978967992175,434.0,416.0,448.0,426.0,396.0,385.0,416.0,392.0,415.0,369.0,469.0,500.0,425.0,503.0,567.0,435.0,416.0,420.0,503.0,502.0,457.0,490.0,473.0,448.0,547.0,488.0,520.0,456.0,582.0,600.0,535.0,470.0,541.0,514.0,498.0,498.0,479.0,517.0,503.0,516.0,545.0,472.0,468.0,569.0,514.0,458.0,475.0,476.0,457.0,437.0,369.0,421.0,407.0,452.0,376.0,521.0,349.0,450.0,335.0,279.0,341.0,282.0,297.0,348.0,310.0,358.0,255.0,253.0,269.0,271.0,356.0
6,1,12.818289502403983,13.499865255424938,11.80274218611211,11.24773139735526,12.24287188192297,12.364238035602378,12.291001109015845,11.901486842793314,12.328873686193532,12.22415172560944,13.395336633475154,13.609121609366426,12.08652581757389,11.567418809383685,12.479485180195246,12.85878036160557,11.94817451934223,12.303124731823356,11.870515600727856,12.080803894993181,11.748431073363145,11.914821013620212,11.597297232261953,12.423658603548885,12.111651090998631,11.997169982602465,11.841281536901196,12.570312169834363,11.47905990741502,13.093837732119008,11.600930363407716,12.210381358676374,11.80833115246247,12.117725979251855,11.612651907961832,12.068462822697422,11.246390889623022,11.447410176586509,10.863355641540089,370.0,319.0,392.0,391.0,338.0,411.0,408.0,348.0,410.0,502.0,451.0,412.0,623.0,543.0,441.0,481.0,542.0,507.0,489.0,511.0,584.0,543.0,499.0,604.0,485.0,548.0,482.0,538.0,580.0,553.0,576.0,453.0,582.0,594.0,514.0,537.0,490.0,468.0,497.0,506.0,484.0,549.0,421.0,433.0,379.0,430.0,418.0,475.0,556.0,376.0,381.0,433.0,375.0,398.0,418.0,331.0,394.0,329.0,310.0,355.0,362.0,300.0,281.0,289.0,295.0,275.0,330.0,299.0,364.0,290.0,242.0
7,1,11.632490812451488,11.53240227391091,12.436656268118234,11.837331322293796,11.269884999008795,12.443856377628519,12.501019985483868,11.425995005915263,12.745958148186668,12.33658552260812,12.25561942306567,12.01930702483269,11.732538101244344,12.771751270169645,12.657723843194745,12.293697126678545,11.91326416417322,11.53253076481831,12.472131207949321,12.25950592102934,12.367821305799612,13.245225016530686,12.918236631181225,12.096571131898271,11.742945309364208,11.942243315561354,11.990373642274143,12.228109144302202,11.773577412863112,12.16797054332941,12.019559351157442,10.780561334052692,11.175796027064974,12.360714347280588,11.544120971961688,10.983958633160006,11.69165993629128,12.777720073560827,11.559857547855918,355.0,401.0,350.0,388.0,380.0,506.0,387.0,527.0,490.0,453.0,441.0,397.0,498.0,554.0,551.0,470.0,513.0,564.0,450.0,558.0,423.0,509.0,615.0,508.0,559.0,539.0,462.0,528.0,507.0,512.0,527.0,483.0,473.0,470.0,414.0,590.0,529.0,527.0,479.0,486.0,489.0,405.0,422.0,475.0,483.0,483.0,457.0,425.0,437.0,368.0,478.0,392.0,424.0,432.0,374.0,443.0,353.0,394.0,355.0,331.0,436.0,367.0,337.0,267.0,348.0,321.0,333.0,335.0,323.0,289.0,329.0
8,1,12.104150517604142,12.785911827019785,11.921092757758265,12.047007327668537,12.634755204379502,12.166251081034762,11.885222127465605,12.987612513257575,12.280553754254518,12.191392268618303,13.02555463876416,12.710978777025618,12.412394947160529,12.254747794088328,12.156184703983977,13.25297428157689,12.393470274245479,11.352311955830531,12.597517750186139,12.686747359157476,12.618669699815866,10.850207745821882,12.372201161912926,12.065040223752838,12.551518067431456,12.552576162704723,12.01525936338773,11.417396836113967,12.393595356540702,10.970308390797433,11.778374296851558,11.116259745431902,10.33008053811344,10.755680475123615,11.833101627322836,11.496991557816623,11.882905915379318,11.14934720992253,11.094257734473716,367.0,442.0,349.0,300.0,377.0,425.0,390.0,434.0,397.0,483.0,415.0,539.0,446.0,464.0,554.0,447.0,419.0,521.0,534.0,394.0,544.0,429.0,530.0,468.0,454.0,451.0,567.0,508.0,498.0,491.0,504.0,557.0,517.0,644.0,435.0,495.0,458.0,451.0,619.0,434.0,461.0,493.0,425.0,561.0,552.0,432.0,457.0,492.0,437.0,419.0,377.0,474.0,385.0,398.0,453.0,342.0,317.0,358.0,409.0,359.0,388.0,376.0,364.0,308.0,280.0,291.0,243.0,249.0,314.0,288.0,253.0
9,1,12.064153667657049,12.22988136170006,12.004921435647018,12.412149173618383,12.857965656686426,12.833234341438544,11.807842537486103,12.537204869991625,11.935652714402021,12.14334946426028,12.45025302223274,12.276611132126694,11.485443119440458,11.801567385960077,11.820814882696688,11.535090213511943,12.833457157213976,12.470375822355315,11.671380667120731,11.80716371425002,11.75624001173546,12.081463521598291,12.462945575841685,11.165091002577594,11.463440115872615,12.708396674302282,11.006695858785148,10.910211096422694,10.971394291584618,11.48032765488093,10.735907187158269,11.123742704781561,10.80361795390384,10.988819609294055,11.979298941190068,10.843853027308603,11.39747027278903,11.138436229311433,11.441833491753364,492.0,390.0,385.0,465.0,441.0,347.0,371.0,383.0,431.0,438.0,494.0,426.0,405.0,463.0,453.0,409.0,368.0,456.0,489.0,564.0,444.0,565.0,453.0,440.0,478.0,438.0,565.0,388.0,508.0,498.0,478.0,515.0,494.0,566.0,459.0,511.0,469.0,477.0,478.0,537.0,471.0,433.0,550.0,476.0,422.0,446.0,482.0,340.0,507.0,537.0,504.0,539.0,396.0,377.0,489.0,451.0,399.0,357.0,381.0,356.0,320.0,350.0,341.0,286.0,328.0,249.0,249.0,260.0,254.0,272.0,257.0
10,1,11.62272663250607,13.027346274697653,12.366052181884285,11.409329678140148,11.942582727728276,11.963130208040768,12.932346494600761,12.832576693924265,12.606063843087915,12.69418614444137,12.489364230629253,12.985131579251425,12.137246622640466,12.920642184713332,12.687645113588998,12.790029287411887,12.133094442438821,13.110290403018467,11.989084634099859,12.073269468422337,12.465381837943221,12.491257915391296,12.097700722693277,12.53510366738024,12.305948700474596,12.744939784657195,12.849484114728906,11.185013755282725,11.644263157098969,11.676073915929408,11.700220350710323,11.93927518075375,12.05415985087248,11.54020796567888,11.703524413929372,11.658966910650806,11.722309516179871,11.631104285699692,11.875351496064864,442.0,345.0,373.0,363.0,461.0,306.0,404.0,334.0,466.0,420.0,411.0,404.0,533.0,420.0,430.0,427.0,594.0,494.0,514.0,551.0,584.0,526.0,634.0,554.0,604.0,535.0,504.0,452.0,589.0,425.0,541.0,414.0,468.0,540.0,529.0,493.0,496.0,473.0,583.0,492.0,573.0,448.0,518.0,474.0,491.0,504.0,512.0,420.0,406.0,457.0,454.0,405.0,424.0,456.0,395.0,384.0,377.0,414.0,405.0,327.0,378.0,300.0,289.0,341.0,285.0,323.0,302.0,318.0,311.0,308.0,227.0
